UID          PID    PPID  C STIME TTY          TIME CMD
lp           690     612  0 23:24 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           691     612  0 23:24 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         714       1  0 23:24 ?        00:00:00 /usr/sbin/ModemManager
root         720       1  0 23:24 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
whoopsie     764       1  0 23:24 ?        00:00:00 /usr/bin/whoopsie -f
kernoops     765       1  0 23:24 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     769       1  0 23:24 ?        00:00:00 /usr/sbin/kerneloops
root         959       1  0 23:24 ?        00:00:00 /usr/sbin/gdm3
root         963       1  0 23:24 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
rtkit        996       1  0 23:24 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1092       1  0 23:24 ?        00:00:00 /usr/lib/upower/upowerd
colord      1309       1  0 23:24 ?        00:00:00 /usr/libexec/colord
root        1364     959  0 23:24 ?        00:00:00 gdm-session-worker [pam/gdm-password]
dan         1372       1  0 23:24 ?        00:00:00 /lib/systemd/systemd --user
dan         1373    1372  0 23:24 ?        00:00:00 (sd-pam)
dan         1378    1372  0 23:24 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
dan         1380    1372  0 23:24 ?        00:00:00 /usr/libexec/tracker-miner-fs
dan         1382    1372  0 23:24 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
dan         1387    1372  0 23:24 ?        00:00:00 /usr/libexec/gvfsd
dan         1389       1  0 23:24 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
dan         1396    1372  0 23:24 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
dan         1415    1372  0 23:24 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
